Name,Constituency,Party,Cases,Education,Assets,Liabilities
"Ananthraj, T",DINDIGUL,IND,0,Illiterate,"15,49,689",0
Anantkumar Hegde,UTTARA KANNADA,BJP,4,12th Pass,"8,47,55,455","4,10,16,655"
Anbalagan M,TIRUVANNAMALAI,IND,0,Graduate Professional,"13,25,000","1,20,000"
Anbalagan T,VILUPPURAM,IND,0,12th Pass,"22,07,000","5,75,000"
Anbazhagan T,KARUR,IND,0,Graduate Professional,"3,34,500",0
Anbin Poyyamozhi S,VILUPPURAM,Makkal Needhi Maiam,1,Post Graduate,"1,22,000",0
Anbukani S,KARUR,IND,0,Post Graduate,"2,21,000",0
Anbumani Ramadoss,DHARMAPURI,Pattali Makkal Katchi,12,Graduate Professional,"33,85,35,112","7,26,81,681"
Anburose. D,DINDIGUL,IND,0,12th Pass,"70,58,000",0
Andrapu Sudharshan Gangaputra,SECUNDERABAD,IND,0,Graduate,"60,000",0
Andukuri Vijaya Bhaskar,SECUNDERABAD,India Praja Bandhu Party,0,Graduate Professional,"5,000",0
Andukuri Vijaya Bhaskar,VIJAYAWADA,India Praja Bandhu Party,0,Graduate Professional,"5,000",0
Angadi Suresh,BELGAUM,BJP,0,Graduate Professional,"36,61,64,525","19,84,79,638"
Angam Karung Kom,OUTER MANIPUR,NCP,0,Graduate,"4,70,000","14,60,000"
Angshudhar Mandal,MALDAHA DAKSHIN,SUCI(C),0,Graduate,"20,27,000",0
Angu Poshetty,NIZAMABAD,IND,0,5th Pass,"1,37,500",0
Anil Baban Hegade,BELGAUM,IND,0,10th Pass,"2,46,837",0
Anil Bharti,MADHEPURA,Rashtravadi Janata Party,0,Post Graduate,"1,37,77,000",0
Anil Borgohain,LAKHIMPUR,INC,0,10th Pass,"5,11,85,000",0
Anil Jayram Rathod,YAVATMAL WASHIM,IND,0,Post Graduate,"48,90,000","10,20,000"
Anil Kumar Gali,MEDAK,INC,1,10th Pass,"12,15,68,484","3,81,00,000"
Anil Kumar Kushwaha,FATEHPUR SIKRI,IND,0,Graduate,"46,93,000",0
Anil Kumar Maddineni,VIJAYAWADA,IND,1,Post Graduate,"8,65,565",0
Anil Kumar Maddineni,KHAMMAM,IND,1,Post Graduate,"8,65,565",0
Anil Mahadeo Dhone,RAMTEK,IND,0,8th Pass,"94,95,186","21,00,000"
Anil Namdevrao Jamnekar,AMRAVATI,IND,0,12th Pass,"1,07,46,000","1,20,000"
